Time,Task,n_estimators,max_depth,criterion,Accuracy,F1 Score,Runtime (s),Train Size,Features
2026-03-23 07:27:58,plant,400,20,gini,0.8391866913123844,0.8312140668620923,6.590116,3785,1890
2026-03-23 07:28:05,plant,400,30,gini,0.8391866913123844,0.8312556335139514,6.694844,3785,1890
2026-03-23 07:28:12,plant,400,40,gini,0.8391866913123844,0.8312556335139514,6.598736,3785,1890
2026-03-23 08:04:25,plant,100,20,gini,0.8317929759704251,0.8238684011243955,2.123312,3785,1890
2026-03-23 08:04:29,plant,100,30,gini,0.8324091189155884,0.8244532127355577,3.292212,3785,1890
2026-03-23 08:04:33,plant,100,40,gini,0.8324091189155884,0.8244532127355577,3.219431,3785,1890
2026-03-23 08:04:38,plant,200,20,gini,0.829328404189772,0.8213720311039074,4.64836,3785,1890
2026-03-23 08:04:42,plant,200,30,gini,0.8311768330252619,0.8232896009491508,4.014561,3785,1890
2026-03-23 08:04:46,plant,200,40,gini,0.8311768330252619,0.8232896009491508,3.640367,3785,1890
2026-03-23 08:04:51,plant,300,20,gini,0.8348736906962415,0.8273213112823022,5.409569,3785,1890
2026-03-23 08:04:57,plant,300,30,gini,0.8348736906962415,0.8273325152953364,5.244486,3785,1890
2026-03-23 08:05:03,plant,300,40,gini,0.8348736906962415,0.8273325152953364,5.284707,3785,1890
2026-03-23 08:05:10,plant,400,20,gini,0.8317929759704251,0.8241087838141824,6.861491,3785,1890
2026-03-23 08:05:17,plant,400,30,gini,0.8330252618607517,0.8253033291612453,7.02428,3785,1890
2026-03-23 08:05:24,plant,400,40,gini,0.8330252618607517,0.8253033291612453,6.786451,3785,1890
2026-03-23 08:12:31,plant,100,20,gini,0.8299445471349353,0.8213830741394806,1.71168,3785,1890
2026-03-23 08:12:33,plant,100,30,gini,0.8324091189155884,0.8243685148395339,1.701239,3785,1890
2026-03-23 08:12:35,plant,100,40,gini,0.8324091189155884,0.8243685148395339,1.681374,3785,1890
2026-03-23 08:12:38,plant,200,20,gini,0.8354898336414048,0.8263270520951361,3.330466,3785,1890
2026-03-23 08:12:42,plant,200,30,gini,0.8391866913123844,0.8303652311066233,3.358267,3785,1890
2026-03-23 08:12:45,plant,200,40,gini,0.8391866913123844,0.8303652311066233,3.349168,3785,1890
2026-03-23 08:12:51,plant,300,20,gini,0.8367221195317314,0.8279981010711233,4.965772,3785,1890
2026-03-23 08:12:56,plant,300,30,gini,0.8367221195317314,0.8279849177832117,4.933656,3785,1890
2026-03-23 08:13:01,plant,300,40,gini,0.8367221195317314,0.8279849177832117,4.963883,3785,1890
2026-03-23 08:13:08,plant,400,20,gini,0.8391866913123844,0.8312140668620923,6.579361,3785,1890
2026-03-23 08:13:15,plant,400,30,gini,0.8391866913123844,0.8312556335139514,6.576462,3785,1890
2026-03-23 08:13:22,plant,400,40,gini,0.8391866913123844,0.8312556335139514,6.612547,3785,1890
